time,issue_id,event_id,type,author,action,url
2025-01-29 14:21:02+00:00,41,16108891335,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/41
2025-01-29 14:20:59+00:00,40,16108890644,label,Sebastienlejeune,labeled Culture Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/40
2025-01-29 14:20:59+00:00,40,16108890651,label,Sebastienlejeune,labeled Developer,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/40
2025-01-29 14:20:59+00:00,40,16108890658,label,Sebastienlejeune,labeled In Progress,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/40
2025-01-29 14:20:59+00:00,40,16108890668,label,Sebastienlejeune,labeled Team Leader,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/40
2025-01-29 14:20:56+00:00,39,16108889922,label,Sebastienlejeune,labeled Culture Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/39
2025-01-29 14:20:56+00:00,39,16108889930,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/39
2025-01-29 14:20:56+00:00,39,16108889942,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/39
2025-01-29 14:20:52+00:00,38,16108888851,label,Sebastienlejeune,labeled Culture Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/38
2025-01-29 14:20:53+00:00,38,16108888861,label,Sebastienlejeune,labeled Decision Maker,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/38
2025-01-29 14:20:53+00:00,38,16108888869,label,Sebastienlejeune,labeled Not Selected,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/38
2025-01-29 14:20:53+00:00,38,16108888874,label,Sebastienlejeune,labeled Team Leader,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/38
2025-01-29 14:20:49+00:00,37,16108888167,label,Sebastienlejeune,labeled Culture Goal,https://github.com/Sebastienlejeune/my-ggi-board-test/issues/37
